"Av_EV_mortero" "Av_EV_quijote" "Barr_EP_triunfo" "Belm_EV_rana" "Belm_EV_sierra" "Cast_EV_barbador" "Cast_EV_comisario" "Cerv_EP_cueva" "Cerv_EP_guarda" "Cerv_EP_juez" "Cerv_EP_retablo" "Cerv_EP_viejo" "Cerv_EP_vizcaino" "Cerv_EV_eleccion" "Cerv_EV_rufian" "Dub_EV_romances_R" "Hurt_EV_getafe" "Hurt_EV_miser1" "Hurt_EV_miser2" "Quev_EP_vieja" "Quev_EV_marido" "Quev_EV_niño" "Quin_EV_barbero" "Quin_EV_borracho" "Quin_EV_sacristanes" "Quin_EV_ventero" "Salas_EP_buscaoficios" "Salas_EP_mirones" "Salas_EV_caprichoso" "Salas_EV_comisario" "Vel_EV_antonia" "Vel_EV_atarantados" "Vel_EV_burla"
"le" 0.757238307349666 0.270897832817337 0.979557069846678 0.229621125143513 0.0987166831194472 1.08695652173913 0.28328611898017 0.532212885154062 0.541858574911948 0.466045272969374 0.332527206771463 0.738786279683377 0.859923059515728 0.334588038477624 0.508905852417303 0.343642611683849 0.873362445414847 0.552486187845304 0.949667616334283 0.618458610846813 0.342857142857143 0.571837026447462 0.405679513184584 0.860677783754707 0.547645125958379 0.487465181058496 0.254582484725051 0.26857654431513 0.484883057615516 0.516414607156031 0.274473924977127 0.348189415041783 0.525394045534151
"pues" 0.846325167037862 0.619195046439629 0.660136286201022 1.14810562571757 1.18460019743337 0.15527950310559 0.495750708215297 0.504201680672269 0.677323218639935 0.366178428761651 0.423216444981862 0.29023746701847 0.226295541977823 0.710999581764952 0.327153762268266 0.687285223367698 0.374298190892077 0.127496812579686 0.522317188983856 0.428163653663178 0.285714285714286 0.285918513223731 0.101419878296146 0.430338891877353 0.383351588170865 1.18384401114206 0.203665987780041 0.35810205908684 0.713063320022818 0.368867576540022 0.548947849954254 0.487465181058496 0.437828371278459
"para" 0.356347438752784 0.11609907120743 0.851788756388416 0.459242250287026 0.394866732477789 0.388198757763975 0.495750708215297 0.532212885154062 0.62313736114874 0.499334221038615 0.453446191051995 0.316622691292876 0.58836840914234 0.794646591384358 0.290803344238459 0.343642611683849 0.0623830318153462 0.552486187845304 0.379867046533713 0.333016175071361 0.514285714285714 0.571837026447462 0.50709939148073 0.484131253362023 0.547645125958379 0.348189415041783 0.712830957230143 0.581915846016115 0.285225328009127 0.184433788270011 0.731930466605673 0.348189415041783 0.175131348511384
"señor" 0.489977728285078 0.425696594427245 1.21379897785349 0 0 0.62111801242236 0.0708215297450425 0.364145658263305 0.406393931183961 0.565912117177097 1.02781136638452 0.448548812664908 0.656257071735687 0.334588038477624 0.145401672119229 0.429553264604811 0.311915159076731 0.339991500212495 0.474833808167141 0.380589914367269 0.342857142857143 0 0.101419878296146 0.376546530392684 0.328587075575027 0.0696378830083565 0.483706720977597 0.17905102954342 0.969766115231033 0.221320545924013 0 0 0.700525394045534
"ha" 0.534521158129176 0.619195046439629 0.511073253833049 0.574052812858783 0.493583415597236 0.388198757763975 0.424929178470255 0.364145658263305 0.62313736114874 0.299600532623169 0.483675937122128 0.422163588390501 0.792034396922381 0.54370556252614 0.254452926208651 0.257731958762887 0.561447286338116 0.339991500212495 0.284900284900285 0.475737392959087 0.457142857142857 0.357398141529664 0.304259634888438 0.699300699300699 0.219058050383352 0.348189415041783 0.381873727087576 0.134288272157565 0.656018254420993 0.184433788270011 0.548947849954254 0.278551532033426 0.525394045534151
"una" 0.267260579064588 0.309597523219814 0.724020442930153 0.574052812858783 0.987166831194472 0.31055900621118 0.28328611898017 0.364145658263305 0.379301002438364 0.565912117177097 0.30229746070133 0.343007915567282 0.384702421362299 0.334588038477624 0.472555434387495 0.171821305841924 0.249532127261385 0.637484062898428 0.332383665716999 0.808753568030447 0.685714285714286 0.142959256611866 1.01419878296146 0.484131253362023 0.711938663745893 1.04456824512535 0.356415478615071 0.26857654431513 0.399315459212778 0.405754334194024 0.365965233302836 0.278551532033426 0.437828371278459
"al" 0.489977728285078 0.425696594427245 0.425894378194208 0.803673938002296 0.394866732477789 0.62111801242236 0.637393767705382 0.30812324929972 0.216743429964779 0.199733688415446 0.362756952841596 0.343007915567282 0.497850192351211 0.334588038477624 0.581606688476917 0.343642611683849 0.561447286338116 0.679983000424989 0.427350427350427 0.428163653663178 0.685714285714286 0.50035739814153 0.304259634888438 0.215169445938677 0.328587075575027 0.696378830083565 0.280040733197556 0.760966875559534 0.484883057615516 0.737735153080044 0.457456541628545 0.278551532033426 0.525394045534151
"como" 0.44543429844098 0.503095975232198 0.319420783645656 0.459242250287026 0.0987166831194472 0.62111801242236 0 0.560224089635854 0.62313736114874 0.699067909454061 0.574365175332527 0.422163588390501 0.520479746548993 0.54370556252614 0.581606688476917 0.601374570446735 0.124766063630692 0.297492562685933 0.0474833808167142 0.285442435775452 0.514285714285714 0.428877769835597 0.608519269776876 0.322754168908015 0.219058050383352 0.417827298050139 0.407331975560081 0.581915846016115 0.171135196805476 0.295094061232018 0.365965233302836 0.348189415041783 0.350262697022767
"su" 0.712694877505568 0.580495356037152 0.404599659284497 0.459242250287026 0.394866732477789 0.46583850931677 0.495750708215297 0.252100840336134 0.460579788675156 0.798934753661784 0.362756952841596 0.395778364116095 0.452591083955646 0.376411543287327 0.581606688476917 0.343642611683849 0.124766063630692 0.169995750106247 0.237416904083571 0.142721217887726 0.114285714285714 0.142959256611866 0.101419878296146 0.376546530392684 0.273822562979189 0.417827298050139 0.509164969450102 0.940017905102954 0.570450656018254 0.33198081888602 0.0914913083257091 0.487465181058496 0.350262697022767
"del" 0.356347438752784 0.812693498452012 0.255536626916525 0.574052812858783 0.296150049358342 0.388198757763975 0.28328611898017 0.420168067226891 0.216743429964779 0.399467376830892 0.876662636033857 0.316622691292876 0.362072867164517 0.501882057716437 0.218102508178844 0.429553264604811 0.436681222707424 0.382490437739056 0.759734093067426 0.523311132254995 0.571428571428571 0.285918513223731 0 0.161377084454008 0.273822562979189 0.348189415041783 0.381873727087576 0.671441360787825 0.427837992013691 0.516414607156031 0.0914913083257091 0.139275766016713 0
"merced" 0.089086859688196 0.0386996904024768 2.55536626916525 0 0.0987166831194472 0 0.0708215297450425 0.224089635854342 0.677323218639935 0.466045272969374 0.272067714631197 0.316622691292876 1.17673681828468 0 0.0363504180298073 0 0.187149095446039 0.0849978750531237 0 0.0475737392959087 0 0 0 0 0 0 0.407331975560081 0.0895255147717099 0 0 0 0.20891364902507 0
"vuesa" 0 0.0386996904024768 2.40630323679727 0 0.0987166831194472 0 0 0.196078431372549 0.650230289894338 0.432756324900133 0.272067714631197 0.263852242744063 1.13147770988912 0 0.0363504180298073 0 0.124766063630692 0.0424989375265618 0 0 0 0 0 0 0 0 0.356415478615071 0.0895255147717099 0 0 0 0.20891364902507 0
"porque" 0.44543429844098 0.154798761609907 0.362010221465077 0.459242250287026 0.493583415597236 0.232919254658385 0.141643059490085 0.224089635854342 0.433486859929558 0.66577896138482 0.30229746070133 0.343007915567282 0.226295541977823 0.125470514429109 0.145401672119229 0.171821305841924 0.124766063630692 0.339991500212495 0.332383665716999 0.237868696479543 0.0571428571428571 0.285918513223731 0.202839756592292 0.0537923614846692 0.383351588170865 0.278551532033426 0.891038696537678 0.581915846016115 0.228180262407302 0.516414607156031 0.0914913083257091 0.0696378830083565 0.262697022767075
"bien" 0.356347438752784 0.232198142414861 0.212947189097104 0.114810562571757 0.0987166831194472 0.31055900621118 0.354107648725212 0.364145658263305 0.298022216201571 0.299600532623169 0.272067714631197 0.29023746701847 0.316813758768952 0.627352572145546 0.327153762268266 0.515463917525773 0.623830318153462 0.254993625159371 0.617283950617284 0.0951474785918173 0.285714285714286 0.285918513223731 0.405679513184584 0.215169445938677 0.273822562979189 0.417827298050139 0.330957230142566 0.17905102954342 0.199657729606389 0.33198081888602 0.182982616651418 0.20891364902507 0
"ser" 0.178173719376392 0.348297213622291 0.255536626916525 0.34443168771527 0.197433366238894 0.62111801242236 0.708215297450425 0.196078431372549 0.379301002438364 0.399467376830892 0.392986698911729 0.158311345646438 0.203665987780041 0.292764533667921 0.0727008360596147 0.257731958762887 0.0623830318153462 0.46748831279218 0.332383665716999 0.333016175071361 0.342857142857143 0.0714796283059328 0 0.107584722969338 0.109529025191676 0.20891364902507 0.407331975560081 0.223813786929275 0.513405590416429 0.516414607156031 1.0064043915828 0.278551532033426 0
"ya" 0.44543429844098 0.232198142414861 0.149063032367973 0 0.888450148075025 0.62111801242236 0 0.280112044817927 0.325115144947169 0.399467376830892 0.272067714631197 0.105540897097625 0.226295541977823 0.292764533667921 0.54525627044711 0.515463917525773 0.249532127261385 0.594985125371866 0.379867046533713 0.190294957183635 0.171428571428571 0.285918513223731 0.304259634888438 0.268961807423346 0.219058050383352 0.417827298050139 0.178207739307536 0.0895255147717099 0.541928123217342 0.184433788270011 0.457456541628545 0.278551532033426 0.612959719789842
"todo" 0.22271714922049 0.348297213622291 0.255536626916525 0.114810562571757 0 0.77639751552795 0.28328611898017 0.252100840336134 0.189650501219182 0.33288948069241 0.241837968561064 0.474934036939314 0.452591083955646 0.418235048097031 0.181752090149037 0.171821305841924 0.249532127261385 0.297492562685933 0.427350427350427 0.475737392959087 0.4 0.142959256611866 0.202839756592292 0.430338891877353 0.164293537787514 0.0696378830083565 0.127291242362525 0.17905102954342 0.114090131203651 0.442641091848027 0.274473924977127 0.20891364902507 0.262697022767075
"tan" 0.22271714922049 0.232198142414861 0.191652470187394 0 0.296150049358342 0.31055900621118 0.354107648725212 0.168067226890756 0.189650501219182 0.366178428761651 0.392986698911729 0.29023746701847 0.271554650373388 0.209117524048515 0.109051254089422 0.171821305841924 0.311915159076731 0.339991500212495 0.189933523266857 0.0951474785918173 0.228571428571429 0.214438884917798 0.202839756592292 0.107584722969338 0.0547645125958379 0.139275766016713 0.458248472505092 0.62667860340197 0.370792926411865 0.66396163777204 0.457456541628545 0.417827298050139 0.612959719789842
"dios" 0.178173719376392 0.425696594427245 0.362010221465077 0.229621125143513 0.69101678183613 0.232919254658385 0 0.224089635854342 0.216743429964779 0.266311584553928 0.483675937122128 0.316622691292876 0.271554650373388 0.418235048097031 0.363504180298073 0.257731958762887 0.249532127261385 0.212494687632809 0.237416904083571 0.380589914367269 0.285714285714286 0.142959256611866 0.304259634888438 0.107584722969338 0.273822562979189 0.348189415041783 0.305498981670061 0.134288272157565 0.199657729606389 0.221320545924013 0.640439158279963 0.20891364902507 0.0875656742556918
"muy" 0.267260579064588 0.232198142414861 0.745315161839864 0.34443168771527 0.0987166831194472 0.077639751552795 0.141643059490085 0.196078431372549 0.216743429964779 0.099866844207723 0.030229746070133 0.105540897097625 0.271554650373388 0.209117524048515 0.254452926208651 0.171821305841924 0.49906425452277 0.552486187845304 0.142450142450142 0.0475737392959087 0.114285714285714 0 0.101419878296146 0.107584722969338 0.219058050383352 0.417827298050139 0.534623217922607 0.0895255147717099 0.427837992013691 0.553301364810033 0.365965233302836 0.20891364902507 0.175131348511384
"hay" 0.267260579064588 0.232198142414861 0.404599659284497 0 0.0987166831194472 0.077639751552795 0.141643059490085 0.364145658263305 0.0812787862367922 0.266311584553928 0.272067714631197 0.158311345646438 0.226295541977823 0.460058552906734 0.145401672119229 0.171821305841924 0.623830318153462 0.46748831279218 0.522317188983856 0.380589914367269 0.514285714285714 0.214438884917798 0.202839756592292 0.322754168908015 0.219058050383352 0.139275766016713 0.0254582484725051 0 0.0855675984027382 0.258207303578015 0.548947849954254 0.348189415041783 0.350262697022767
"soy" 0.311804008908686 0.11609907120743 0.0851788756388416 1.03329506314581 0 0.232919254658385 0.141643059490085 0.336134453781513 0.352208073692766 0.233022636484687 0.332527206771463 0.158311345646438 0.0905182167911292 0.334588038477624 0.327153762268266 0.257731958762887 0.311915159076731 0.339991500212495 0.0474833808167142 0.142721217887726 0.742857142857143 0.0714796283059328 0.304259634888438 0.215169445938677 0.219058050383352 0.278551532033426 0.432790224032587 0.044762757385855 0.0285225328009127 0.627074880118038 0.182982616651418 0.20891364902507 0.350262697022767
"aquí" 0.133630289532294 0.270897832817337 0.234241908006814 0.114810562571757 0.296150049358342 0.698757763975155 0.141643059490085 0.336134453781513 0.135464643727987 0.199733688415446 0.423216444981862 0.184696569920844 0.339443312966735 0.418235048097031 0.327153762268266 0.257731958762887 0.0623830318153462 0.0849978750531237 0.142450142450142 0.333016175071361 0.114285714285714 0.0714796283059328 0 0.268961807423346 0.328587075575027 0.557103064066852 0.0254582484725051 0.17905102954342 0.399315459212778 0.221320545924013 0.274473924977127 0.278551532033426 0.525394045534151
"esta" 0.356347438752784 0.386996904024768 0.106473594548552 0.229621125143513 0.197433366238894 0.232919254658385 0.424929178470255 0.476190476190476 0.568951503657545 0.233022636484687 0.211608222490931 0.184696569920844 0.429961529757864 0.0418235048097031 0 0.343642611683849 0.249532127261385 0.0849978750531237 0.237416904083571 0.237868696479543 0.114285714285714 0.142959256611866 0.405679513184584 0.107584722969338 0.219058050383352 0.348189415041783 0.280040733197556 0.0895255147717099 0.285225328009127 0.258207303578015 0.0914913083257091 0.20891364902507 0.0875656742556918
"sin" 0.311804008908686 0.11609907120743 0.127768313458262 0.229621125143513 0.197433366238894 0.077639751552795 0.212464589235127 0.252100840336134 0.216743429964779 0.399467376830892 0.241837968561064 0.079155672823219 0.271554650373388 0.209117524048515 0.399854598327881 0.171821305841924 0.124766063630692 0.254993625159371 0.0949667616334283 0 0.742857142857143 0.214438884917798 0.202839756592292 0.215169445938677 0.273822562979189 0.278551532033426 0.229124236252546 0.35810205908684 0.31374786081004 0.221320545924013 0.274473924977127 0.348189415041783 0.350262697022767
"os" 0.356347438752784 0.386996904024768 0.0425894378194208 0.114810562571757 0.296150049358342 0 1.06232294617564 0.364145658263305 0.352208073692766 0.366178428761651 0.151148730350665 0 0.0452591083955646 0.250941028858218 0.0363504180298073 0.343642611683849 0 0.509987250318742 0.759734093067426 0.0951474785918173 0 0.0714796283059328 0 0.215169445938677 0.164293537787514 0.348189415041783 0.254582484725051 0.35810205908684 0.256702795208214 0.33198081888602 0.274473924977127 0.139275766016713 0.175131348511384
