"Av_EV_mortero" "Av_EV_quijote" "Belm_EV_rana" "Belm_EV_sierra" "Cast_EV_barbador" "Cast_EV_comisario" "Cerv_EV_eleccion" "Cerv_EV_rufian" "Dub_EV_romances_R" "Hurt_EV_getafe" "Hurt_EV_miser1" "Hurt_EV_miser2" "Quev_EV_marido" "Quev_EV_niño" "Quin_EV_barbero" "Quin_EV_borracho" "Quin_EV_sacristanes" "Quin_EV_ventero" "Salas_EV_caprichoso" "Salas_EV_comisario" "Vel_EV_antonia" "Vel_EV_atarantados" "Vel_EV_burla"
"todo" 0.22271714922049 0.348297213622291 0.114810562571757 0 0.77639751552795 0.28328611898017 0.418235048097031 0.181752090149037 0.171821305841924 0.249532127261385 0.297492562685933 0.427350427350427 0.4 0.142959256611866 0.202839756592292 0.430338891877353 0.164293537787514 0.0696378830083565 0.114090131203651 0.442641091848027 0.274473924977127 0.20891364902507 0.262697022767075
"tan" 0.22271714922049 0.232198142414861 0 0.296150049358342 0.31055900621118 0.354107648725212 0.209117524048515 0.109051254089422 0.171821305841924 0.311915159076731 0.339991500212495 0.189933523266857 0.228571428571429 0.214438884917798 0.202839756592292 0.107584722969338 0.0547645125958379 0.139275766016713 0.370792926411865 0.66396163777204 0.457456541628545 0.417827298050139 0.612959719789842
"muy" 0.267260579064588 0.232198142414861 0.34443168771527 0.0987166831194472 0.077639751552795 0.141643059490085 0.209117524048515 0.254452926208651 0.171821305841924 0.49906425452277 0.552486187845304 0.142450142450142 0.114285714285714 0 0.101419878296146 0.107584722969338 0.219058050383352 0.417827298050139 0.427837992013691 0.553301364810033 0.365965233302836 0.20891364902507 0.175131348511384
"dios" 0.178173719376392 0.425696594427245 0.229621125143513 0.69101678183613 0.232919254658385 0 0.418235048097031 0.363504180298073 0.257731958762887 0.249532127261385 0.212494687632809 0.237416904083571 0.285714285714286 0.142959256611866 0.304259634888438 0.107584722969338 0.273822562979189 0.348189415041783 0.199657729606389 0.221320545924013 0.640439158279963 0.20891364902507 0.0875656742556918
"aquí" 0.133630289532294 0.270897832817337 0.114810562571757 0.296150049358342 0.698757763975155 0.141643059490085 0.418235048097031 0.327153762268266 0.257731958762887 0.0623830318153462 0.0849978750531237 0.142450142450142 0.114285714285714 0.0714796283059328 0 0.268961807423346 0.328587075575027 0.557103064066852 0.399315459212778 0.221320545924013 0.274473924977127 0.278551532033426 0.525394045534151
"este" 0.44543429844098 0.348297213622291 0.229621125143513 0 0.543478260869565 0.708215297450425 0.167294019238812 0.145401672119229 0 0.249532127261385 0.127496812579686 0.237416904083571 0.114285714285714 0.50035739814153 0.304259634888438 0.161377084454008 0.109529025191676 0.20891364902507 0.342270393610953 0.33198081888602 0.365965233302836 0.139275766016713 0.175131348511384
"he" 0.267260579064588 0.386996904024768 0.114810562571757 0.296150049358342 0.31055900621118 0.28328611898017 0 0.109051254089422 0.343642611683849 0.124766063630692 0.509987250318742 0.0474833808167142 0.4 0.285918513223731 0.50709939148073 0.215169445938677 0.109529025191676 0.417827298050139 0.513405590416429 0.184433788270011 0.365965233302836 0 0.0875656742556918
"sin" 0.311804008908686 0.11609907120743 0.229621125143513 0.197433366238894 0.077639751552795 0.212464589235127 0.209117524048515 0.399854598327881 0.171821305841924 0.124766063630692 0.254993625159371 0.0949667616334283 0.742857142857143 0.214438884917798 0.202839756592292 0.215169445938677 0.273822562979189 0.278551532033426 0.31374786081004 0.221320545924013 0.274473924977127 0.348189415041783 0.350262697022767
"dos" 0.22271714922049 0.270897832817337 0.229621125143513 0.197433366238894 0.388198757763975 0.424929178470255 0.125470514429109 0.363504180298073 0.0859106529209622 0.124766063630692 0.382490437739056 0.189933523266857 0.114285714285714 0.50035739814153 0.202839756592292 0.430338891877353 0.383351588170865 0.139275766016713 0.142612664004564 0 0.0914913083257091 0.278551532033426 0.875656742556918
"está" 0.089086859688196 0.386996904024768 0.229621125143513 0.296150049358342 0.31055900621118 0.0708215297450425 0.125470514429109 0.363504180298073 0.687285223367698 0.187149095446039 0.212494687632809 0.142450142450142 0.171428571428571 0.357398141529664 0.101419878296146 0.322754168908015 0.273822562979189 0.20891364902507 0.342270393610953 0.110660272962007 0.0914913083257091 0.139275766016713 0.437828371278459
"porque" 0.44543429844098 0.154798761609907 0.459242250287026 0.493583415597236 0.232919254658385 0.141643059490085 0.125470514429109 0.145401672119229 0.171821305841924 0.124766063630692 0.339991500212495 0.332383665716999 0.0571428571428571 0.285918513223731 0.202839756592292 0.0537923614846692 0.383351588170865 0.278551532033426 0.228180262407302 0.516414607156031 0.0914913083257091 0.0696378830083565 0.262697022767075
"son" 0.089086859688196 0.193498452012384 0.34443168771527 0.296150049358342 0.077639751552795 0.28328611898017 0.376411543287327 0.0363504180298073 0.0859106529209622 0.0623830318153462 0.254993625159371 0.284900284900285 0.342857142857143 0.214438884917798 0.202839756592292 0.161377084454008 0.273822562979189 0.20891364902507 0.31374786081004 0.258207303578015 0.182982616651418 0.0696378830083565 0.437828371278459
"esta" 0.356347438752784 0.386996904024768 0.229621125143513 0.197433366238894 0.232919254658385 0.424929178470255 0.0418235048097031 0 0.343642611683849 0.249532127261385 0.0849978750531237 0.237416904083571 0.114285714285714 0.142959256611866 0.405679513184584 0.107584722969338 0.219058050383352 0.348189415041783 0.285225328009127 0.258207303578015 0.0914913083257091 0.20891364902507 0.0875656742556918
"gusto" 0.044543429844098 0.11609907120743 0 0.0987166831194472 0 0 0.0418235048097031 0.109051254089422 0.0859106529209622 0.187149095446039 0.169995750106247 0.0949667616334283 0.114285714285714 0 0 0 0 0 0.31374786081004 1.95499815566212 0.0914913083257091 0.0696378830083565 0
"ni" 0.133630289532294 0.11609907120743 0.68886337543054 0.197433366238894 0.077639751552795 0.0708215297450425 0.460058552906734 0.181752090149037 0.343642611683849 0.249532127261385 0.0849978750531237 0.522317188983856 0.628571428571429 0.142959256611866 0.202839756592292 0.215169445938677 0.109529025191676 0.417827298050139 0.114090131203651 0.0737735153080044 0.0914913083257091 0 0
"quiero" 0.133630289532294 0.425696594427245 0 0.0987166831194472 0.077639751552795 0.141643059490085 0 0.145401672119229 0.171821305841924 0.249532127261385 0.169995750106247 0.189933523266857 0.4 0.214438884917798 0 0.322754168908015 0.0547645125958379 0.278551532033426 0.285225328009127 0.295094061232018 0.914913083257091 0.0696378830083565 0
"tengo" 0.089086859688196 0.193498452012384 0.229621125143513 0.197433366238894 0.15527950310559 0.141643059490085 0.167294019238812 0.218102508178844 0.171821305841924 0.436681222707424 0.297492562685933 0.0949667616334283 0.4 0 0.101419878296146 0.0537923614846692 0.164293537787514 0.20891364902507 0.0855675984027382 0.479527849502029 0.274473924977127 0.139275766016713 0.262697022767075
"sale" 0.22271714922049 0.193498452012384 0.114810562571757 0 0.15527950310559 0.28328611898017 0 0.0363504180298073 0.77319587628866 0.311915159076731 0.254993625159371 0.237416904083571 0.0571428571428571 0.142959256611866 1.3184584178499 0.322754168908015 0.328587075575027 0.0696378830083565 0.142612664004564 0.0368867576540022 0.0914913083257091 0.0696378830083565 0.0875656742556918
"cómo" 0.133630289532294 0.193498452012384 0.459242250287026 0.0987166831194472 0.077639751552795 0.424929178470255 0.0836470096194061 0.0727008360596147 0.171821305841924 0.249532127261385 0.254993625159371 0.332383665716999 0 0.214438884917798 0.101419878296146 0.0537923614846692 0.0547645125958379 0.139275766016713 0.228180262407302 0.405754334194024 0.274473924977127 0.0696378830083565 0
"hombre" 0.178173719376392 0.11609907120743 0.459242250287026 0.296150049358342 0.15527950310559 0.141643059490085 0.0418235048097031 0 0 0.0623830318153462 0.254993625159371 0.56980056980057 0.228571428571429 0.0714796283059328 0.202839756592292 0.0537923614846692 0.0547645125958379 0.139275766016713 0.31374786081004 0.33198081888602 0 0.20891364902507 0.175131348511384
"todos" 0.044543429844098 0.154798761609907 0.229621125143513 0 0.232919254658385 0.354107648725212 0.292764533667921 0.290803344238459 0.0859106529209622 0.311915159076731 0.297492562685933 0.427350427350427 0.0571428571428571 0.142959256611866 0.101419878296146 0.107584722969338 0.164293537787514 0.0696378830083565 0.114090131203651 0.110660272962007 0 0.278551532033426 0.0875656742556918
"él" 0.267260579064588 0.0773993808049536 0 0.296150049358342 0 0.141643059490085 0.167294019238812 0.109051254089422 0.429553264604811 0.124766063630692 0 0.142450142450142 0.0571428571428571 0.142959256611866 0.101419878296146 0.0537923614846692 0.219058050383352 0.139275766016713 0.370792926411865 0.33198081888602 0 0.20891364902507 0.350262697022767
"ay" 0.044543429844098 0.0773993808049536 0.114810562571757 0 0 0 0 0.0363504180298073 0.601374570446735 0 0 0.237416904083571 0.228571428571429 0.142959256611866 0.50709939148073 0.430338891877353 1.1500547645126 0.0696378830083565 0 0.0737735153080044 0 0.487465181058496 0.175131348511384
"o" 0.044543429844098 0.0773993808049536 0.574052812858783 0.0987166831194472 0.077639751552795 0.212464589235127 0.334588038477624 0.399854598327881 0.0859106529209622 0.187149095446039 0.254993625159371 0.142450142450142 0.228571428571429 0 0.202839756592292 0.161377084454008 0.0547645125958379 0.278551532033426 0.0855675984027382 0.0368867576540022 0 0.20891364902507 0.175131348511384
"tiene" 0.178173719376392 0.193498452012384 0 0.296150049358342 0.232919254658385 0 0.167294019238812 0.0727008360596147 0 0.249532127261385 0.0849978750531237 0.142450142450142 0.4 0 0.101419878296146 0.215169445938677 0.328587075575027 0.20891364902507 0.228180262407302 0.0737735153080044 0.0914913083257091 0.0696378830083565 0.262697022767075
"mí" 0.089086859688196 0.232198142414861 0.114810562571757 0.0987166831194472 0.232919254658385 0.212464589235127 0.125470514429109 0.109051254089422 0.0859106529209622 0.249532127261385 0.127496812579686 0.0474833808167142 0.171428571428571 0.142959256611866 0.101419878296146 0.107584722969338 0.109529025191676 0 0.342270393610953 0.33198081888602 0.0914913083257091 0 0.175131348511384
"quién" 0.311804008908686 0.0386996904024768 0.229621125143513 0.0987166831194472 0.077639751552795 0.141643059490085 0.0836470096194061 0.109051254089422 0.429553264604811 0.0623830318153462 0.0424989375265618 0 0.342857142857143 0 0.304259634888438 0.268961807423346 0.109529025191676 0.139275766016713 0.256702795208214 0.221320545924013 0.274473924977127 0 0.262697022767075
"eso" 0.267260579064588 0.193498452012384 0.229621125143513 0 0.077639751552795 0.212464589235127 0.0418235048097031 0 0.0859106529209622 0.124766063630692 0.127496812579686 0.284900284900285 0.171428571428571 0.142959256611866 0 0.215169445938677 0.164293537787514 0.417827298050139 0.114090131203651 0.0737735153080044 0.548947849954254 0.139275766016713 0.0875656742556918
"nos" 0.089086859688196 0.348297213622291 0.34443168771527 0.0987166831194472 0.15527950310559 0 0.167294019238812 0.181752090149037 0.343642611683849 0 0.212494687632809 0.142450142450142 0.171428571428571 0.0714796283059328 0.50709939148073 0.161377084454008 0.109529025191676 0.139275766016713 0.0570450656018254 0.0737735153080044 0.0914913083257091 0 0.350262697022767
"digo" 0.267260579064588 0.154798761609907 0.114810562571757 0.0987166831194472 0 0.0708215297450425 0.209117524048515 0.109051254089422 0.171821305841924 0 0.254993625159371 0.142450142450142 0.571428571428571 0.0714796283059328 0.101419878296146 0.322754168908015 0.0547645125958379 0 0.0570450656018254 0.184433788270011 0.0914913083257091 0.0696378830083565 0.175131348511384
"don" 0.133630289532294 0.580495356037152 0 0 0 0.212464589235127 0 0.0363504180298073 0 0.49906425452277 0.382490437739056 0.142450142450142 0 0 0.202839756592292 0.322754168908015 0 0 0.228180262407302 0.0737735153080044 0.0914913083257091 0 0.0875656742556918
"oh" 0.178173719376392 0.11609907120743 0 0 0.077639751552795 0 0.0836470096194061 0.363504180298073 0.171821305841924 0.935745477230193 0.212494687632809 0.189933523266857 0 0.0714796283059328 0.101419878296146 0.107584722969338 0 0.139275766016713 0 0.184433788270011 0 0 0.437828371278459
