"Av_EV_quijote" "Cerv_EP_cueva" "Cerv_EP_guarda" "Cerv_EP_juez" "Cerv_EP_retablo" "Cerv_EP_viejo" "Cerv_EP_vizcaino" "Cerv_EV_eleccion" "Cerv_EV_rufian"
"que" 4.95356037151703 5.40616246498599 4.65998374424275 5.39280958721704 5.25997581620314 5.0131926121372 5.8836840914234 5.39523212045169 3.4896401308615
"y" 3.75386996904025 4.39775910364146 4.09103224058521 4.56058588548602 4.08101571946796 5.27704485488127 5.02376103190767 4.1405269761606 4.68920392584515
"de" 4.29566563467492 4.56582633053221 5.2560281766459 4.76031957390146 4.74607013301088 3.58839050131926 3.59809911744739 3.42952739439565 4.25299890948746
"la" 2.05108359133127 2.3249299719888 2.24871308588458 2.49667110519308 2.08585247883918 2.45382585751979 2.87395338311835 1.67294019238812 3.12613595056343
"a" 3.01857585139319 1.9327731092437 2.57382823083175 2.29693741677763 1.69286577992745 1.71503957783641 2.26295541977823 2.30029276453367 1.89022173754998
"el" 2.36068111455108 1.96078431372549 1.59848279599025 1.69773635153129 2.62998790810157 1.50395778364116 1.42566191446029 2.00752823086575 2.83533260632497
"no" 1.27708978328173 2.26890756302521 2.0319696559198 2.13049267643142 2.14631197097944 2.21635883905013 1.71984611903146 1.96570472605604 1.4903671392221
"en" 1.39318885448916 2.43697478991597 1.51720400975345 2.0306258322237 1.60217654171705 1.87335092348285 1.85562344421815 1.96570472605604 2.43547800799709
"me" 0.580495356037152 1.06442577030812 1.40883229477106 1.16511318242344 1.02781136638452 1.37203166226913 1.51618013125141 0.96194061062317 0.799709196655762
"por" 1.58668730650155 0.980392156862745 1.38173936602547 1.36484687083888 1.17896009673519 1.21372031662269 0.769404842724598 1.00376411543287 0.872410032715376
"con" 1.23839009287926 0.92436974789916 1.24627472229748 1.39813581890812 0.544135429262394 1.39841688654354 0.973070830504639 0.627352572145546 0.763358778625954
"se" 0.541795665634675 1.06442577030812 0.650230289894338 0.732356857523302 1.14873035066505 1.21372031662269 1.17673681828468 1.63111668757842 0.763358778625954
"yo" 0.580495356037152 1.42857142857143 0.812787862367922 0.765645805592543 0.846432889963724 1.2664907651715 1.06358904729577 0.96194061062317 0.836059614685569
