"Cerv_EP_cueva" "Cerv_EP_guarda" "Cerv_EP_juez" "Cerv_EP_retablo" "Cerv_EP_viejo" "Cerv_EP_vizcaino" "Cerv_EV_eleccion" "Cerv_EV_rufian" "Dub_EV_romances_R"
"que" 5.40616246498599 4.65998374424275 5.39280958721704 5.25997581620314 5.0131926121372 5.8836840914234 5.39523212045169 3.4896401308615 3.95189003436426
"y" 4.39775910364146 4.09103224058521 4.56058588548602 4.08101571946796 5.27704485488127 5.02376103190767 4.1405269761606 4.68920392584515 3.95189003436426
"de" 4.56582633053221 5.2560281766459 4.76031957390146 4.74607013301088 3.58839050131926 3.59809911744739 3.42952739439565 4.25299890948746 2.57731958762887
"la" 2.3249299719888 2.24871308588458 2.49667110519308 2.08585247883918 2.45382585751979 2.87395338311835 1.67294019238812 3.12613595056343 1.71821305841924
"a" 1.9327731092437 2.57382823083175 2.29693741677763 1.69286577992745 1.71503957783641 2.26295541977823 2.30029276453367 1.89022173754998 1.80412371134021
"no" 2.26890756302521 2.0319696559198 2.13049267643142 2.14631197097944 2.21635883905013 1.71984611903146 1.96570472605604 1.4903671392221 1.97594501718213
"en" 2.43697478991597 1.51720400975345 2.0306258322237 1.60217654171705 1.87335092348285 1.85562344421815 1.96570472605604 2.43547800799709 1.54639175257732
"el" 1.96078431372549 1.59848279599025 1.69773635153129 2.62998790810157 1.50395778364116 1.42566191446029 2.00752823086575 2.83533260632497 1.28865979381443
"me" 1.06442577030812 1.40883229477106 1.16511318242344 1.02781136638452 1.37203166226913 1.51618013125141 0.96194061062317 0.799709196655762 0.77319587628866
"por" 0.980392156862745 1.38173936602547 1.36484687083888 1.17896009673519 1.21372031662269 0.769404842724598 1.00376411543287 0.872410032715376 0.77319587628866
"se" 1.06442577030812 0.650230289894338 0.732356857523302 1.14873035066505 1.21372031662269 1.17673681828468 1.63111668757842 0.763358778625954 1.46048109965636
"yo" 1.42857142857143 0.812787862367922 0.765645805592543 0.846432889963724 1.2664907651715 1.06358904729577 0.96194061062317 0.836059614685569 1.20274914089347
"con" 0.92436974789916 1.24627472229748 1.39813581890812 0.544135429262394 1.39841688654354 0.973070830504639 0.627352572145546 0.763358778625954 0.77319587628866
"es" 0.672268907563025 0.866973719859117 0.699067909454061 1.02781136638452 0.79155672823219 1.33514369766916 1.12923462986198 0.981461286804798 1.28865979381443
"los" 1.06442577030812 0.650230289894338 0.965379494007989 1.14873035066505 0.659630606860158 0.656257071735687 1.25470514429109 0.908760450745184 1.20274914089347
"las" 0.784313725490196 0.596044432403143 0.832223701731025 1.05804111245466 1.37203166226913 0.746775288526816 0.585529067335843 1.01781170483461 0.343642611683849
"mi" 1.12044817927171 1.11081007856949 0.466045272969374 0.423216444981862 0.976253298153034 0.814663951120163 0.54370556252614 0.836059614685569 0.945017182130584
"lo" 0.952380952380952 0.839880791113519 0.66577896138482 0.755743651753325 0.659630606860158 0.859923059515728 0.752823086574655 0.581606688476917 0.687285223367698
"un" 0.532212885154062 0.975345434841506 0.66577896138482 0.332527206771463 0.633245382585752 0.610997963340122 0.836470096194061 0.981461286804798 0.257731958762887
"si" 0.868347338935574 0.352208073692766 0.765645805592543 0.544135429262394 0.79155672823219 0.724145734329034 0.710999581764952 0.436205016357688 0.601374570446735
"más" 0.672268907563025 0.433486859929558 0.66577896138482 0.423216444981862 0.870712401055409 0.656257071735687 0.627352572145546 0.727008360596147 0.0859106529209622
"qué" 0.448179271708683 0.62313736114874 0.466045272969374 0.513905683192261 0.712401055408971 0.769404842724598 0.501882057716437 0.69065794256634 0.77319587628866
"como" 0.560224089635854 0.62313736114874 0.699067909454061 0.574365175332527 0.422163588390501 0.520479746548993 0.54370556252614 0.581606688476917 0.601374570446735
"le" 0.532212885154062 0.541858574911948 0.466045272969374 0.332527206771463 0.738786279683377 0.859923059515728 0.334588038477624 0.508905852417303 0.343642611683849
"señor" 0.364145658263305 0.406393931183961 0.565912117177097 1.02781136638452 0.448548812664908 0.656257071735687 0.334588038477624 0.145401672119229 0.429553264604811
"para" 0.532212885154062 0.62313736114874 0.499334221038615 0.453446191051995 0.316622691292876 0.58836840914234 0.794646591384358 0.290803344238459 0.343642611683849
"ha" 0.364145658263305 0.62313736114874 0.299600532623169 0.483675937122128 0.422163588390501 0.792034396922381 0.54370556252614 0.254452926208651 0.257731958762887
